time_,run no,cellno_db,compno,cell_no,layer,volume,elevation (top),area (top),MeHg (unfilt),MeHg (diss),MeHg (solids),MeHg (phyto),MeHg (zoo),HgII (unfilt),HgII (diss),HgII (solids),HgInert,HgII (phyto),Hg (zoo),Hg0,MeHg Mass,HgII mass,HgInert mass,mass Hg0
36605.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.161209e-001,1.092006e-001,8.650298e-003,0.000000e+000,0.000000e+000,2.475908e+000,2.358127e+000,1.472264e-001,0.000000e+000,0.000000e+000,0.000000e+000,3.387539e-002,1.421343e+005,3.030561e+006,0.000000e+000,4.146416e+004
36610.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.154300e-001,9.793998e-002,7.758466e-003,1.205907e-002,4.823629e-002,2.469082e+000,2.365690e+000,1.477020e-001,0.000000e+000,6.552560e-016,1.638140e-016,3.299708e-002,1.657826e+005,3.546138e+006,0.000000e+000,4.739098e+004
36610.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.163334e-001,1.094005e-001,8.666084e-003,0.000000e+000,0.000000e+000,2.477309e+000,2.359462e+000,1.473090e-001,0.000000e+000,0.000000e+000,0.000000e+000,3.324345e-002,1.423943e+005,3.032276e+006,0.000000e+000,4.069065e+004
36615.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.156289e-001,9.810880e-002,7.771801e-003,1.207986e-002,4.831944e-002,2.470420e+000,2.366973e+000,1.477813e-001,0.000000e+000,6.556114e-016,1.639029e-016,3.238864e-002,1.660683e+005,3.548060e+006,0.000000e+000,4.651714e+004
36615.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.165351e-001,1.095903e-001,8.681072e-003,0.000000e+000,0.000000e+000,2.478660e+000,2.360749e+000,1.473886e-001,0.000000e+000,0.000000e+000,0.000000e+000,3.262855e-002,1.426413e+005,3.033930e+006,0.000000e+000,3.993800e+004
36620.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.158177e-001,9.826902e-002,7.784455e-003,1.209959e-002,4.839836e-002,2.471711e+000,2.368211e+000,1.478579e-001,0.000000e+000,6.559544e-016,1.639886e-016,3.179662e-002,1.663394e+005,3.549915e+006,0.000000e+000,4.566686e+004
36620.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.167265e-001,1.097703e-001,8.695290e-003,0.000000e+000,0.000000e+000,2.479965e+000,2.361992e+000,1.474655e-001,0.000000e+000,0.000000e+000,0.000000e+000,3.203023e-002,1.428756e+005,3.035526e+006,0.000000e+000,3.920565e+004
36625.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.116255e-001,9.471239e-002,7.501999e-003,1.166172e-002,4.664688e-002,2.506386e+000,2.401444e+000,1.499185e-001,0.000000e+000,6.651621e-016,1.662905e-016,7.621249e-002,1.603185e+005,3.599716e+006,0.000000e+000,1.094577e+005
36625.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.139181e-001,1.071297e-001,8.485565e-003,0.000000e+000,0.000000e+000,2.504067e+000,2.384955e+000,1.488894e-001,0.000000e+000,0.000000e+000,0.000000e+000,6.385696e-002,1.394380e+005,3.065028e+006,0.000000e+000,7.816220e+004
36630.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.075193e-001,9.122860e-002,7.225531e-003,1.123280e-002,4.493121e-002,2.533749e+000,2.427667e+000,1.515447e-001,0.000000e+000,6.724278e-016,1.681070e-016,1.031702e-001,1.544211e+005,3.639014e+006,0.000000e+000,1.481749e+005
36630.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.118133e-001,1.051507e-001,8.328183e-003,0.000000e+000,0.000000e+000,2.530796e+000,2.410422e+000,1.504678e-001,0.000000e+000,0.000000e+000,0.000000e+000,8.643962e-002,1.368617e+005,3.097745e+006,0.000000e+000,1.058038e+005
36635.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.005098e-001,8.528137e-002,6.754102e-003,1.050056e-002,4.200224e-002,2.560023e+000,2.452848e+000,1.531076e-001,0.000000e+000,6.794044e-016,1.698511e-016,1.269749e-001,1.443539e+005,3.676750e+006,0.000000e+000,1.823636e+005
36635.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.142538e-001,1.074464e-001,8.509312e-003,0.000000e+000,0.000000e+000,2.553289e+000,2.431854e+000,1.517934e-001,0.000000e+000,0.000000e+000,0.000000e+000,8.645362e-002,1.398490e+005,3.125276e+006,0.000000e+000,1.058210e+005
36640.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,9.473049e-002,7.853005e-002,6.220204e-003,9.669232e-003,3.867693e-002,2.581997e+000,2.423160e+000,1.512737e-001,0.000000e+000,6.711778e-016,1.677945e-016,1.371768e-001,1.360536e+005,3.708310e+006,0.000000e+000,1.970157e+005
36640.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.164534e-001,1.063456e-001,8.423177e-003,0.000000e+000,0.000000e+000,2.575556e+000,2.396062e+000,1.495778e-001,0.000000e+000,0.000000e+000,0.000000e+000,8.656609e-002,1.425413e+005,3.152532e+006,0.000000e+000,1.059586e+005
